CharName,word
Earl of Surrey,530
Sir Nathaniel,527
Widow,525
King Lewis XI,520
Adam,519
Longaville,512
Lennox,509
Oswald,503
Prince of Arragon,498
Duke of Venice,492
Antiochus,487
Lord (Earl) Rivers,486
Bishop of Carlisle,485
Duncan,481
Sir Thomas Lovell,473
Peter,469
Painter,464
Lavinia,462
Bassianus,460
Old Lady,458
Reignier,456
Duchess of Gloucester,454
Sir William Catesby,454
Doctor,452
Mortimer,451
Surveyor,451
Salanio,448
First Servant,441
First Gaoler,441
Marcellus,438
Lord Mowbray,434
Alexander Iden,428
Balthasar,420
Queen Elinor,420
Chiron,420
Second Citizen,419
Lepidus,418
Montano,418
Menas,417
Gardener,411
Patroclus,407
Soldier,402
Anne Bullen,400
Montjoy,399
Third Servingman,396
Second Servant,393
Titus Lartius,389
Thurio,382
Pedant,380
Cardinal Campeius,378
Charles,375
Le Beau,371
Flute,367
Boatswain,366
Blunt,366
Young Clifford,364
Agrippa,363
Lord Say,362
Ursula,361
Duke of Alencon,359
Osric,358
Officer,357
Man,356
Young Lucius,353
First Witch,350
Countess of Auvergne,350
Valeria,347
Steward,346
Son,344
Gadshill,341
Earl of Douglas,341
Lord Sands,337
Simple,334
Blanch,332
Iris,331
Decius Brutus,324
Guildenstern,323
Montague,317
Duke of Orleans,313
Dolabella,311
Panthino,311
Melun,309
First Fisherman,308
Sir Robert Brakenbury,308
Cromwell,304
Earl Oxford,302
Rumour,297
Chatillon,296
Philario,295
Egeus,295
Courtezan,294
Lady Macduff,293
Sergeant,293
Old Gobbo,292
Lucullus,285
Davy,285
Lord Mayor of London,284
Sir Stephen Scroop,284
Eros,283
Senator,281
Tybalt,280
Marquess of Montague,279
Post,278
Ventidius,277
First Watchman,276
Hecate,276
Sir James Tyrrel,274
Friar Peter,273
Bushy,271
First Officer,269
Second Merchant,268
Scarus,266
Time,266
Second Servingman,263
Cassandra,260
Alexander,260
Sampson,259
Dick the Butcher,255
Conrade,255
Tintinius,254
Silence,254
Messala,252
Hippolyta,251
Lymoges,251
First Servingman,246
Father John Hume,244
Green,242
Calchas,240
Martius,239
Marullus,238
Quintus,236
Roman,235
Dull,234
Virgilia,232
Octavia,231
Lord Chancellor,229
First Stranger,229
Mistress Overdone,228
Herald,228
Sicilius Leonatus,228
Mecaenas,225
Bolingbroke,223
Bastard of Orleans,221
Prince Henry,221
Second Fisherman,220
Lord Fitzwater,218
Father,218
Pandar,216
Flaminius,214
Sempronius,209
Thaliard,208
Old Athenian,207
Proculeius,206
Bernardo,206
General,206
Second Officer,205
Alexas,205
Macmorris,205
Lord Marshal,205
Siward,203
Balthazar,203
Third Outlaw,203
Calpurnia,202
Shepherd,201
Richard Plantagenet the Younger,197
Second Messenger,196
"Edmond, Earl of Rutland",196
Fairy,196
Gentlewoman,196
Sir Richard Ratcliff,196
Eglamour,194
Basset,191
Queen Isabel,188
Fortinbras,187
Simpcox,186
Dion,184
Verges,184
Philostrate,183
Anne Page,182
Thyreus,182
Bishop of Ely,181
Second Watchman,181
Faulconbridge,181
Fourth Citizen,180
Helen,179
